Title,Artist,Year,Entities,Entity Lines
Mount Everest,Labrinth,2019.,"[set(), {'dubai'}]","{'brands': {}, 'locations': {'dubai': ""Burj Dubai ain't got shit on me""}}"
Rescue Me,OneRepublic,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Sanctuary,Joji,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
"Alone, Pt. II",Alan Walker,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
HP,Maluma,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Mary On A Cross,Ghost,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Call You Mine,The Chainsmokers,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Car's Outside,James Arthur,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Can I Call You Tonight?,Dayglow,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
El Efecto,Rauw Alejandro,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
夜に駆ける,YOASOBI,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Tutu,Camilo,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
The Search,NF,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
I.F.L.Y.,Bazzi,2019.,"[{'champion'}, set()]","{'brands': {'champion': ""Champion, you're number one, yeah, that's true""}, 'locations': {}}"
Paradise,Bazzi,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Nights Like This,Kehlani,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Post Malone,Sam Feldt,2019.,"[{'ferrari', 'bacardi'}, set()]","{'brands': {'bacardi': 'One more drink, got one more Bacardi', 'ferrari': 'Speed so fast like a Ferrari'}, 'locations': {}}"
Dancing With Your Ghost,Sasha Alex Sloan,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Sigues Con El,Arcángel,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Beer Never Broke My Heart,Luke Combs,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Un Año,Sebastian Yatra,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Suicidal,YNW Melly,2019.,"[{'hennessy'}, set()]","{'brands': {'hennessy': 'Left lipstick on my Hennessy'}, 'locations': {}}"
"Yo x Ti, Tu x Mi",ROSALÍA,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
So Am I,Ava Max,2019.,"[{'harley'}, set()]","{'brands': {'harley': 'And call me Harley'}, 'locations': {}}"
Genius,Sia,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
UN PESO,J Balvin,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
you were good to me,Jeremy Zucker,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Hollywood's Bleeding,Post Malone,2019.,"[{'lambo'}, set()]","{'brands': {'lambo': ""This is more than I can handle, blood in my Lambo'""}, 'locations': {}}"
Heading South,Zach Bryan,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Make You Mine,PUBLIC,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Please Me,Cardi B,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
listen before i go,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Thunderclouds,Sia,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Love Me,Lil Tecca,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Cinnamon Girl,Lana Del Rey,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Verte Ir,DJ Luian,2019.,"[set(), {'colombia', 'callao'}]","{'brands': {}, 'locations': {'callao': ""Calla'o, que no se entere nadie"", 'colombia': ""'Toy adicto con ese cuerpo de Colombia""}}"
Location,Dave,2019.,"[{'benz', 'off-white'}, {'india'}]","{'brands': {'benz': ""Inna the big black Benz, pullin' up"", 'off-white': 'Money moves, Off-White shoes'}, 'locations': {'india': 'Girl from India, sweetest nani'}}"
Shameless,Camila Cabello,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
One Thing Right,Marshmello,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Te Robaré,Nicky Jam,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Who Do You Love,The Chainsmokers,2019.,"[{'fendi'}, set()]","{'brands': {'fendi': 'Found cigarettes in your Fendi coat'}, 'locations': {}}"
Camelot,NLE Choppa,2019.,"[set(), {'batman', 'kingston'}]","{'brands': {}, 'locations': {'kingston': 'And shout out to Kingston, I keep me some Rastas', 'batman': ""I love Batman, but a young nigga robbin'""}}"
High Fashion,Roddy Ricch,2019.,"[{'benz', 'patek', 'prada'}, set()]","{'brands': {'benz': 'If we hop in the Benz is that okay?', 'prada': 'Is it okay if I call you my Prada bae?', 'patek': ""And I keep a Patek, too, 'cause I don't do facades""}, 'locations': {}}"
All For Us,Labrinth,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
rises the moon,Liana Flores,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
De Los Besos Que Te Di,Christian Nodal,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Trampoline,SHAED,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Juice,Lizzo,2019.,"[{'louis'}, {'lv'}]","{'brands': {'louis': 'Louis down to my drawers'}, 'locations': {'lv': 'LV all on my shoes (Ooh, baby)'}}"
Harleys In Hawaii,Katy Perry,2019.,"[{'harleys'}, set()]","{'brands': {'harleys': ""We're ridin' Harleys in Hawaii-i38Embed""}, 'locations': {}}"
