Title,Artist,Year,Entities
Motivation,Normani,2019.,"[set(), set()]"
Que Tire Pa Lante,Daddy Yankee,2019.,"[{'ferrari'}, {'rome'}]"
God's Country,Blake Shelton,2019.,"[set(), {'georgia'}]"
emotions,iann dior,2019.,"[set(), set()]"
Don’t Call Me Angel (Charlie’s Angels),Ariana Grande,2019.,"[set(), set()]"
Nothing,Bruno Major,2019.,"[set(), set()]"
All Of The Girls You Loved Before,Taylor Swift,2019.,"[set(), set()]"
Kemba Walker,Eladio Carrion,2019.,"[{'lambo', 'louis vuitton'}, {'hamilton', 'houston', 'connecticut'}]"
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,2019.,"[set(), set()]"
Better Together,Luke Combs,2019.,"[{'coke'}, set()]"
Contra La Pared,Sean Paul,2019.,"[set(), set()]"
Juicy,Doja Cat,2019.,"[{'coke'}, set()]"
Feel Special,TWICE,2019.,"[set(), set()]"
Mariposa,Peach Tree Rascals,2019.,"[set(), set()]"
Vossi Bop,Stormzy,2019.,"[set(), {'dubai', 'london'}]"
Popular Monster,Falling In Reverse,2019.,"[set(), set()]"
Djadja,Aya Nakamura,2019.,"[set(), set()]"
The Grinch,Trippie Redd,2019.,"[set(), set()]"
Graduation,benny blanco,2019.,"[set(), set()]"
Pump It Up,Endor,2019.,"[set(), set()]"
When I Grow Up,NF,2019.,"[set(), set()]"
Colapso,Kevin Kaarl,2019.,"[set(), set()]"
Under The Sun,Dreamville,2019.,"[{'ford', 'glock'}, set()]"
LOVE SCENARIO,iKON,2019.,"[set(), set()]"
Through Da Storm,Polo G,2019.,"[{'gucci'}, {'cali'}]"
Amor A Primera Vista,Los Ángeles Azules,2019.,"[set(), set()]"
Own It,Stormzy,2019.,"[set(), set()]"
Slide Away,Miley Cyrus,2019.,"[set(), set()]"
Tek It,Cafuné,2019.,"[set(), set()]"
Hell N Back,Bakar,2019.,"[{'mountain dew'}, set()]"
TOES,DaBaby,2019.,"[{'rover', 'patek'}, set()]"
Liberdade Provisória,Henrique & Juliano,2019.,"[set(), set()]"
Mala Fama,Danna Paola,2019.,"[set(), set()]"
The Git Up,Blanco Brown,2019.,"[set(), set()]"
Cherry,Harry Styles,2019.,"[set(), set()]"
La Mejor Versión de Mi,NATTI NATASHA,2019.,"[set(), set()]"
I Forgot That You Existed,Taylor Swift,2019.,"[set(), set()]"
Worth It,YK Osiris,2019.,"[set(), set()]"
Debo Entender,Santa Fe Klan,2019.,"[set(), {'santa fe'}]"
Die For Me,Post Malone,2019.,"[set(), set()]"
A Whole New World (End Title),ZAYN,2019.,"[set(), set()]"
Cornelia Street,Taylor Swift,2019.,"[set(), set()]"
Nice To Meet Ya,Niall Horan,2019.,"[set(), set()]"
parents,YUNGBLUD,2019.,"[set(), set()]"
La Cintura,Alvaro Soler,2019.,"[set(), set()]"
London Boy,Taylor Swift,2019.,"[{'louis'}, {'tennessee', 'london'}]"
She,Harry Styles,2019.,"[set(), set()]"
Happiness is a butterfly,Lana Del Rey,2019.,"[set(), set()]"
Tia Tamera,Doja Cat,2019.,"[{'nokia'}, set()]"
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,2019.,"[set(), set()]"
Forever,ilyTOMMY,2019.,"[set(), set()]"
Baguettes in the Face,Mustard,2019.,"[{'lambo', 'louis', 'phantom'}, set()]"
Futsal Shuffle 2020,Lil Uzi Vert,2019.,"[{'prada'}, set()]"
Monster,LUM!X,2019.,"[set(), set()]"
Si Te Vas,Sech,2019.,"[set(), set()]"
La Boca,Mau y Ricky,2019.,"[set(), set()]"
La Playa,Myke Towers,2019.,"[{'lambo', 'cartier', 'lamborghini'}, {'orlando'}]"
Outnumbered,Dermot Kennedy,2019.,"[set(), set()]"
Whine Up,Nicky Jam,2019.,"[set(), set()]"
Kilby Girl,The Backseat Lovers,2019.,"[set(), set()]"
Mikrokosmos,BTS,2019.,"[set(), set()]"
Bags,Clairo,2019.,"[set(), set()]"
Yellow Hearts,Ant Saunders,2019.,"[set(), set()]"
