Artist,Title,Streams,Daily
Alok,Don't Say Goodbye,"252,897,102","60,346"
GANGGA,Blue Jeans,"252,862,128","133,723"
Os Barões Da Pisadinha,Recairei,"252,205,189","35,434"
Jhené Aiko,B.S.,"251,627,506","98,591"
Trippie Redd,Excitement,"251,515,619","141,592"
A Boogie Wit da Hoodie,Secrets,"251,282,672","147,251"
Bad Bunny,TE DESEO LO MEJOR,"250,959,182","89,198"
Wizkid,Essence,"250,908,373","167,056"
Justin Bieber,Forever,"250,802,817","55,492"
MAX,Blueberry Eyes,"250,643,572","46,912"
The Neighbourhood,Pretty Boy,"250,432,593","192,969"
wave to earth,seasons,"250,219,990","521,525"
Nicky Jam,Polvo,"250,174,220","37,735"
Maluma,Madrid,"248,597,496","86,438"
Jesse & Joy,Te Esperé,"248,390,460","138,762"
Juice WRLD,Blood On My Jeans,"248,145,720","73,129"
Myke Towers,Explícito,"248,127,486","78,887"
VINAI,Rise Up,"247,496,435","63,574"
Stray Kids,Back Door,"246,841,823","100,594"
iann dior,Sick and Tired,"246,719,131","61,007"
Saweetie,Tap In,"246,490,026","51,806"
The Neighbourhood,Stargazing,"246,475,348","89,058"
BTS,Stay Gold,"246,291,458","35,286"
Bad Bunny,25/8,"246,228,008","101,931"
Diplo,Lonely,"245,908,316","13,797"
BTS,00:00 (Zero O'Clock),"245,657,204","66,538"
aespa,Black Mamba,"245,493,972","156,725"
Jeremy Zucker,"always, i'll care","245,435,551","77,697"
Los Elegantes de Jerez,Tú,"245,096,499","113,019"
Justin Quiles,PAM,"244,595,042","40,639"
KHEA,Ayer Me Llamó Mi Ex,"243,870,628","92,981"
Ken Carson,Yale,"243,622,530","501,386"
BLACKPINK,Love To Hate Me,"243,288,608","79,816"
Bobby Darin,Baby Face,"242,988,193","106,633"
Kid Cudi,Tequila Shots,"242,835,946","54,482"
K/DA,MORE,"242,164,610","70,336"
Anuel AA,Keii,"242,056,415","56,507"
Little Mix,Sweet Melody,"240,200,250","42,592"
Juice WRLD,Reminds Me Of You,"239,630,776","59,116"
Doja Cat,Freak,"239,577,141","84,214"
Bad Bunny,ANTES QUE SE ACABE,"239,426,345","78,156"
Pop Smoke,Gangstas,"239,377,485","71,443"
Russ,BEST ON EARTH,"238,911,586","49,005"
Yung Bleu,You're Mines Still,"238,058,712","111,047"
Doja Cat,Say So,"237,542,547","24,168"
Migrantes,Si Me Tomo Una Cerveza,"237,414,826","63,645"
JHAYCO,Medusa,"237,239,789","56,843"
WEEDMANE,SUICIDE YEAR,"236,872,681","71,684"
BTS,Friends,"236,761,787","48,814"
Yasser Desai,"Dil Ko Karaar Aaya (From ""Sukoon"")","236,146,008","169,654"
JVLA,Such a Whore (Stellular Remix),"235,555,181","71,777"
Joji,Like You Do,"234,946,798","131,723"
Bad Bunny,PA' ROMPERLA,"234,912,626","50,467"
Banda MS de Sergio Lizárraga,La Casita,"234,832,507","151,154"
ITZY,Not Shy,"234,751,545","76,652"
H.E.R.,Slide (Remix),"233,552,579","53,850"
Sista Prod,Eyes Blue Like The Atlantic,"233,344,312","60,714"
BLACKPINK,Crazy Over You,"233,327,098","97,649"
Lil Eazzyy,Onna Come Up,"232,454,263","108,826"
Rod Wave,Rags2Riches 2,"231,875,046","77,897"
Giveon,Stuck On You,"231,474,322","118,275"
All Time Low,Monsters,"231,278,765","86,901"
Tate McRae,stupid,"231,027,448","46,754"
Arcángel,Sigues Con El,"230,676,081","38,692"
Justin Morales,Desde Morro,"230,144,505","69,392"
BTS,We are Bulletproof : the Eternal,"230,038,313","50,063"
Juice WRLD,Man Of The Year,"229,773,389","65,229"
Pop Smoke,Something Special,"228,909,742","54,938"
Kygo,Like It Is,"228,405,241","22,885"
Bad Bunny,Hablamos Mañana,"228,375,694","88,517"
Juice WRLD,Tell Me U Luv Me,"228,306,578","35,879"
Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida),"227,366,869","85,024"
Taylor Swift,marjorie,"227,245,274","189,608"
BTS,Telepathy,"227,164,705","43,300"
Ghostemane,Fed Up,"225,155,754","98,501"
Taylor Swift,ivy,"224,753,701","124,471"
David Guetta,Let’s Love,"224,653,218","50,572"
Lil Yachty,Oprah's Bank Account,"224,486,260","25,425"
RØNIN,ALL GIRLS ARE THE SAME,"224,129,744","42,611"
Don Toliver,Had Enough,"223,867,570","83,293"
Joel Corry,Lonely,"223,592,464","24,546"
Jay Wheeler,La Curiosidad,"223,390,335","43,221"
Taylor Swift,evermore,"222,220,111","125,234"
Ava Max,Who's Laughing Now,"221,435,342","43,315"
Rauw Alejandro,Dile a El,"221,139,844","585,558"
Kid Cudi,Show Out,"220,465,354","36,644"
Katy Perry,Daisies,"220,082,774","21,654"
Martin Garrix,Drown,"219,944,929","32,971"
Prince Royce,Carita de Inocente,"219,537,655","71,906"
Taylor Swift,mad woman,"219,326,795","137,276"
Rauw Alejandro,Ponte Pa' Mi,"219,264,263","169,154"
Justin Quiles,Ponte Pa' Mi,"218,030,958","33,538"
TWICE,CRY FOR ME,"217,834,475","69,160"
Wesley Safadão,"Ele É Ele, Eu Sou Eu","217,811,332","15,795"
YOASOBI,たぶん,"217,785,758","103,929"
Central Cee,Day in the Life,"217,696,015","113,514"
Drake,Not You Too,"217,497,095","154,086"
Masego,Mystery Lady,"217,052,623","134,632"
Madison Beer,Good In Goodbye,"216,770,666","98,465"
Anuel AA,Reggaetonera,"216,624,472","40,324"
Kygo,Freedom,"216,488,385","32,073"
blackbear,me & ur ghost,"216,309,218","25,196"
Lee Brice,I Hope You're Happy Now,"215,607,966","75,393"
Bad Bunny,Está Cabrón Ser Yo,"215,571,117","67,513"
