Artist,Title,Streams,Daily
Eliza Rose,B.O.T.A. (Baddest Of Them All),"339,387,044","277,386"
Alejo,Pantysito,"339,180,826","127,714"
Cris Mj,Marisola,"338,990,363","252,020"
Steve Lacy,Static,"334,053,953","560,850"
Post Malone,Cooped Up,"332,947,784","109,163"
Kendrick Lamar,Die Hard,"330,990,731","207,642"
Brent Faiyaz,ALL MINE,"330,223,094","279,639"
Shawn Mendes,When You're Gone,"329,987,146","136,663"
Fuerza Regida,Igualito a Mi Apá,"329,984,249","245,106"
MUPP,vendetta!,"326,500,957","147,112"
Jessica Darrow,Surface Pressure,"325,396,237","142,741"
Luis Mexia,Calidad,"324,789,107","328,992"
Lady Gaga,Hold My Hand,"324,522,735","161,650"
Montell Fish,Hotel,"324,141,644","524,417"
Bad Bunny,Agosto,"323,510,770","335,980"
LE SSERAFIM,FEARLESS (2023 Ver.),"323,148,036","193,122"
Fuerza Regida,Billete Grande (En Vivo),"320,697,417","247,251"
Tulus,Hati-Hati di Jalan,"320,225,493","277,224"
Måneskin,SUPERMODEL,"319,399,579","192,600"
Nathan Dawe,21 Reasons,"319,333,751","255,360"
Gunna,P power,"318,883,330","211,795"
NLE Choppa,Capo,"314,792,015","147,601"
Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51","312,240,279","132,572"
George Ezra,Green Green Grass,"310,579,120","184,933"
NAYEON,POP!,"309,771,865","239,400"
Black Eyed Peas,DON'T YOU WORRY,"309,739,104","127,679"
Kaifi Khalil,Kahani Suno 2.0,"309,337,559","243,668"
Dave,Starlight,"309,063,535","156,294"
Jung Kook,Stay Alive (Prod. SUGA of BTS),"308,386,607","102,236"
TWISTED,WORTH NOTHING,"307,256,132","148,984"
The Kid LAROI,Thousand Miles,"305,287,497","104,454"
Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],"305,124,655","232,470"
Stray Kids,MANIAC,"304,519,438","179,706"
Taylor Swift,Question...?,"303,978,601","118,015"
Felix Jaehn,Call It Love,"303,639,891","387,814"
